Observed Value of ChemAHNet,Predicted Value of ChemAHNet,Observed Value of ChemAHNet-No MoIM,Predicted Value of ChemAHNet-No MoIM,Observed Value of ChemAHNet-No RCIM,Predicted Value of ChemAHNet-No RCIM,Observed Value of ChemAHNet-No MIM,Predicted Value of ChemAHNet-No MIM
-2.3,-2.6158395,-2.3,-2.2516396,-2.3,-2.0657158,-2.3,1.4265385
-2.48,1.7809305,-2.48,-1.2859607,-2.48,-1.4769204,-2.48,-0.4221859
-2.48,-2.0048811,-2.48,-1.0229068,-2.48,-0.6354637,-2.48,0.99889565
1.29,1.2771955,1.29,1.7971883,1.29,1.0864358,1.29,0.7764225
-1.45,-1.4872241,-1.45,-1.5743067,-1.45,-1.8002758,-1.45,-0.47189903
0,1.6082959,0,1.9834051,0,2.0159616,0,0.825861
1.8800001,1.2084923,1.8800001,1.2330661,1.8800001,0.9627609,1.8800001,2.0266666
1.8100004,0.69420004,1.8100004,-1.3549857,1.8100004,-1.5352826,1.8100004,0.16263008
2.7200003,1.8893604,2.7200003,0.21911049,2.7200003,-0.39324713,2.7200003,0.3649845
0.77999973,0.40136194,0.77999973,-0.5127375,0.77999973,0.56133175,0.77999973,0.2400837
-1.74,-1.7340524,-1.74,-1.3953905,-1.74,-2.4303195,-1.74,0.1414814
2.44,2.1122103,2.44,2.2705736,2.44,1.855691,2.44,-1.6695464
-1.45,-1.4508004,-1.45,-1.2188096,-1.45,-1.560097,-1.45,-0.62769914
3.13,3.142559,3.13,2.9820056,3.13,2.7907767,3.13,1.9385014
2.7200003,2.2610579,2.7200003,0.6059098,2.7200003,0.8416443,2.7200003,-0.15219688
0.05000019,0.59654045,0.05000019,1.4446349,0.05000019,1.1083078,0.05000019,-1.0120833
-1.81,-1.8223662,-1.81,-1.8309212,-1.81,-1.768961,-1.81,0.4349537
0.48999977,0.30154562,0.48999977,-0.113857746,0.48999977,0.07847166,0.48999977,-0.9627135
-1.8800001,-1.6177952,-1.8800001,-1.3397975,-1.8800001,-1.7943664,-1.8800001,-1.6540282
2.48,2.883335,2.48,2.086728,2.48,2.5110874,2.48,0.739069
-3.71,-0.9573717,-3.71,-2.3675437,-3.71,-1.3469856,-3.71,-0.25244713
-2.52,-2.0209856,-2.52,-2.0236628,-2.52,-1.5032403,-2.52,0.24118233
-0.68000007,0.08108568,-0.68000007,-0.11671209,-0.68000007,0.3155942,-0.68000007,0.1426487
-1.96,-1.8903477,-1.96,-1.6834798,-1.96,-1.3557253,-1.96,-1.0283568
0.85999966,0.7808418,0.85999966,0.6322031,0.85999966,1.3061218,0.85999966,-0.09946251
-2.28,-2.152759,-2.28,-2.3236554,-2.28,-2.2944121,-2.28,-1.6367247
1.1300001,1.0090551,1.1300001,1.1379724,1.1300001,1.0450764,1.1300001,-0.5218184
2.3000002,2.6631565,2.3000002,1.4899778,2.3000002,1.4214668,2.3000002,0.25738716
-2.21,1.3019962,-2.21,-1.2720919,-2.21,2.6812649,-2.21,-0.85971665
0.09000015,0.28293896,0.09000015,0.029271126,0.09000015,-0.01046133,0.09000015,-1.2513106
-2.81,-2.6962569,-2.81,-2.7219982,-2.81,-2.5474308,-2.81,1.0076847
0.77,0.69764614,0.77,0.5441437,0.77,0.72519016,0.77,1.1993961
3.3999996,1.4000535,3.3999996,2.176538,3.3999996,0.6936226,3.3999996,-1.2920287
1.3000002,-1.1996088,1.3000002,-0.82016945,1.3000002,-1.3094614,1.3000002,-0.1787014
-2.56,-2.4950202,-2.56,-2.2843676,-2.56,-2.5517478,-2.56,-0.44518852
-2.0600002,-2.0522385,-2.0600002,-2.5271235,-2.0600002,-1.8061755,-2.0600002,-0.28169823
1.6799998,1.9897022,1.6799998,1.6022544,1.6799998,1.6354909,1.6799998,0.15075111
-0.73,-2.376016,-0.73,-2.3807216,-0.73,-1.8686721,-0.73,-1.2419035
0.14999962,-0.068623066,0.14999962,0.2822938,0.14999962,0.21133804,0.14999962,0.9057865
-1.52,-0.08397722,-1.52,-1.451277,-1.52,-1.5101559,-1.52,0.12864113
-0.40999985,-0.55606484,-0.40999985,-0.26596975,-0.40999985,-0.2236762,-0.40999985,-1.0110533
-1.74,-1.273689,-1.74,0.30785894,-1.74,-0.58937097,-1.74,0.13537025
-1.9300001,-2.2362099,-1.9300001,-0.14230537,-1.9300001,2.1089296,-1.9300001,2.218378
-2.72,-2.376117,-2.72,-2.4168117,-2.72,-2.5619237,-2.72,-3.3065093
-1.3299999,-0.88895273,-1.3299999,-1.3450444,-1.3299999,-1.5531218,-1.3299999,-0.15480614
1.0299997,-0.5016906,1.0299997,-0.14289331,1.0299997,0.5675559,1.0299997,0.53712654
-2.72,-2.2105114,-2.72,-1.6575973,-2.72,-2.1942701,-2.72,-0.029218674
2.29,1.2059512,2.29,1.4082322,2.29,2.6829453,2.29,0.748682
-2.3,-2.228344,-2.3,-1.0114133,-2.3,2.2177238,-2.3,0.67150307
-1.5600002,-2.0919883,-1.5600002,-2.019606,-1.5600002,-1.5687666,-1.5600002,-1.6639159
2.42,2.663765,2.42,2.7058983,2.42,2.6198702,2.42,1.2705326
-2.23,-0.5437763,-2.23,1.9613743,-2.23,-0.33418798,-2.23,0.9325657
-0.13000011,-0.37792444,-0.13000011,-0.7906909,-0.13000011,0.7270708,-0.13000011,0.77010536
-0.13999987,-1.706207,-0.13999987,-1.5853598,-0.13999987,-2.206209,-0.13999987,-0.48659325
-2.56,-2.751996,-2.56,-2.8938684,-2.56,-2.862059,-2.56,-1.8619444
-1.49,-1.2615614,-1.49,-1.3927507,-1.49,-0.6158352,-1.49,-0.95131516
1.1000004,1.9230862,1.1000004,2.3870788,1.1000004,1.522831,1.1000004,1.3643284
-3.68,2.0923147,-3.68,2.049243,-3.68,1.7073298,-3.68,1.6425571
0.19000006,0.6433611,0.19000006,-0.19348001,0.19000006,0.4393835,0.19000006,0.3993168
3.8500004,3.0238543,3.8500004,2.6852317,3.8500004,1.2109771,3.8500004,1.5013828
-0.42000008,-0.9707658,-0.42000008,-0.49611998,-0.42000008,-0.4117303,-0.42000008,-0.048376083
-1.24,-1.5929015,-1.24,-1.0292213,-1.24,-1.7683251,-1.24,-0.36423302
-0.8200002,-1.0209179,-0.8200002,-0.5070162,-0.8200002,-0.7558675,-0.8200002,-0.21344566
-1.6299999,-1.8879623,-1.6299999,-1.4024556,-1.6299999,-0.46946335,-1.6299999,0.82187843
-1.0699999,0.568912,-1.0699999,-0.03875017,-1.0699999,0.27847815,-1.0699999,0.576334
3.2199998,3.1253147,3.2199998,2.8251567,3.2199998,2.431374,3.2199998,1.9474277
0,-0.4579115,0,0.5221853,0,0.9763465,0,1.3710575
1.4899998,2.0804548,1.4899998,1.4190011,1.4899998,1.6217813,1.4899998,-1.0462096
-1.45,-1.9385581,-1.45,-1.8951449,-1.45,-1.6787972,-1.45,0.17622566
-2.1699998,-1.9817064,-2.1699998,-1.6059861,-2.1699998,-2.1988277,-2.1699998,-1.5053008
-1.6299999,1.3909707,-1.6299999,0.52954483,-1.6299999,1.513217,-1.6299999,-0.45658684
2.7200003,2.2834597,2.7200003,1.5666113,2.7200003,-1.424628,2.7200003,0.56287575
2.0899997,2.8479853,2.0899997,1.822803,2.0899997,2.392654,2.0899997,1.6212711
0,1.211277,0,2.124898,0,1.736362,0,0.36127663
-1.45,0.9851861,-1.45,0.20191622,-1.45,0.4694171,-1.45,0.3342228
-2.1999998,2.636087,-2.1999998,2.1767225,-2.1999998,1.6717014,-2.1999998,-1.347647
-0.42000008,-2.2616658,-0.42000008,-1.0421271,-0.42000008,-0.54921746,-0.42000008,-1.0625517
-2.1699998,-1.1200361,-2.1699998,-0.9445734,-2.1699998,-0.021611214,-2.1699998,0.6557102
0,-0.9039619,0,-1.9361434,0,-0.62018037,0,-0.2900753
-2.16,-4.729967,-2.16,-4.091949,-2.16,-4.466592,-2.16,-0.09177208
0.13999987,-0.084311485,0.13999987,0.6956892,0.13999987,-0.061100006,0.13999987,1.2607136
-2.6999998,-2.107783,-2.6999998,-2.495603,-2.6999998,-3.158316,-2.6999998,-1.2236388
-3.13,-3.4101517,-3.13,-2.7639256,-3.13,-2.6878514,-3.13,-0.14622307
-1.8,-0.27451134,-1.8,-1.2141502,-1.8,-1.1261158,-1.8,0.8533268
-2.0600002,-0.08759308,-2.0600002,1.951798,-2.0600002,1.9287605,-2.0600002,0.28396034
-2.48,-2.8081088,-2.48,-1.5098183,-2.48,-1.7604847,-2.48,0.3342228
-3.4,-3.5177977,-3.4,-2.9372115,-3.4,-3.3938608,-3.4,-1.0941374
0.09000015,-0.032619476,0.09000015,0.649107,0.09000015,-0.20899248,0.09000015,0.6083317
-3.1399999,-3.149571,-3.1399999,-1.6058185,-3.1399999,-2.2562208,-3.1399999,-1.8660643
