entry,Catalyst,reactant1,reactant2,ee,T,reaction,T_K,Output
59,C[Si](C)(C)OC(C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)[C@H]3NCCC3.OC(C1=CC=CC=C1)=O,O=C/C=C/CCCCO[Si](C1=CC=CC=C1)(C2=CC=CC=C2)C(C)(C)C,O/N=C(C)/C,0.92,0,C[Si](C)(C)OC(C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)[C@H]3NCCC3.OC(C1=CC=CC=C1)=O.O=C/C=C/CCCCO[Si](C1=CC=CC=C1)(C2=CC=CC=C2)C(C)(C)C.O/N=C(C)/C,273.15,1.7250419526428853
60,C[Si](C)(C)OC(C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)[C@H]3NCCC3.OC(C1=CC=CC=C1)=O,O=C/C=C/CCCON(C(OCC1=CC=CC=C1)=O)CC2=CC=CC=C2,O/N=C(C)/C,0.91,0,C[Si](C)(C)OC(C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)[C@H]3NCCC3.OC(C1=CC=CC=C1)=O.O=C/C=C/CCCON(C(OCC1=CC=CC=C1)=O)CC2=CC=CC=C2.O/N=C(C)/C,273.15,1.6582750690135095
61,C[Si](C)(C)OC(C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)[C@H]3NCCC3.OC(C1=CC=CC=C1)=O,O=C/C=C/CCN(C(OCC1=CC=CC=C1)=O)CC2=CC=CC=C2,O/N=C(C)/C,0.86,0,C[Si](C)(C)OC(C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)[C@H]3NCCC3.OC(C1=CC=CC=C1)=O.O=C/C=C/CCN(C(OCC1=CC=CC=C1)=O)CC2=CC=CC=C2.O/N=C(C)/C,273.15,1.4040503639092623
62,C[Si](C)(C)OC(C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)[C@H]3NCCC3.OC(C1=CC=CC=C1)=O,O=C/C=C/CCOCC1=CC=CC=C1,O/N=C(C)/C,0.9,0,C[Si](C)(C)OC(C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)[C@H]3NCCC3.OC(C1=CC=CC=C1)=O.O=C/C=C/CCOCC1=CC=CC=C1.O/N=C(C)/C,273.15,1.5982362279568438
63,C[Si](C)(C)OC(C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)[C@H]3NCCC3.OC(C1=CC=CC=C1)=O,O=C/C=C/COCC1=CC=CC=C1,O/N=C(C)/C,0.91,0,C[Si](C)(C)OC(C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)[C@H]3NCCC3.OC(C1=CC=CC=C1)=O.O=C/C=C/COCC1=CC=CC=C1.O/N=C(C)/C,273.15,1.6582750690135095
64,C[Si](C)(C)OC(C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)[C@H]3NCCC3.OC(C1=CC=CC=C1)=O,O=C/C=C/COCC1=CC=CC=C1,O/N=C/C1=CC=CC=C1,0.95,4,C[Si](C)(C)OC(C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)[C@H]3NCCC3.OC(C1=CC=CC=C1)=O.O=C/C=C/COCC1=CC=CC=C1.O/N=C/C1=CC=CC=C1,277.15,2.0176953551165795
65,C[Si](C)(C)OC(C1=CC(C=CC=C2)=C2C=C1)(C3=CC(C=CC=C4)=C4C=C3)[C@H]5NCCC5,O=C/C=C/CCC,O=C(OCC1=CC=CC=C1)NOC(C)=O,0.9,25,C[Si](C)(C)OC(C1=CC(C=CC=C2)=C2C=C1)(C3=CC(C=CC=C4)=C4C=C3)[C@H]5NCCC5.O=C/C=C/CCC.O=C(OCC1=CC=CC=C1)NOC(C)=O,298.15,1.7445144842223432
66,C[Si](C)(C)OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3,O=C/C=C/C,O=C(OC(C)(C)C)NOC(C)=O,0.9,25,C[Si](C)(C)OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.O=C/C=C/C.O=C(OC(C)(C)C)NOC(C)=O,298.15,1.7445144842223432
67,C[Si](C)(C)OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3,O=C/C=C/C1=CC=CC=C1,C1(PC2=CC=CC=C2)=CC=CC=C1,0.83,4,C[Si](C)(C)OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.O=C/C=C/C1=CC=CC=C1.C1(PC2=CC=CC=C2)=CC=CC=C1,277.15,1.3087249709148376
68,C[Si](C)(C)OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3,O=C/C=C/C1=CC=CC=C1,CCOP(OCC)OCC,0.14,4,C[Si](C)(C)OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.O=C/C=C/C1=CC=CC=C1.CCOP(OCC)OCC,277.15,0.15522865873157
69,C[Si](C)(C)OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3,O=C/C=C/C1=CC=CC=C1,O=P(OC1=CC=CC=C1)OC2=CC=CC=C2,0,25,C[Si](C)(C)OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.O=C/C=C/C1=CC=CC=C1.O=P(OC1=CC=CC=C1)OC2=CC=CC=C2,298.15,0
70,C[Si](C)(C)OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3,O=C/C=C/C1=CC=CC=C1,O=P(OCC)OCC,0,25,C[Si](C)(C)OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.O=C/C=C/C1=CC=CC=C1.O=P(OCC)OCC,298.15,0
71,C[Si](C)(C)OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3,O=C/C=C/C1=CC=CC=C1,P(OC1=CC=CC=C1)(OC2=CC=CC=C2)OC3=CC=CC=C3,0,4,C[Si](C)(C)OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.O=C/C=C/C1=CC=CC=C1.P(OC1=CC=CC=C1)(OC2=CC=CC=C2)OC3=CC=CC=C3,277.15,0
72,C[Si](C)(C)OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3,O=C/C=C/CC,O=C(OCC1=CC=CC=C1)NOC(C)=O,0.97,40,C[Si](C)(C)OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.O=C/C=C/CC.O=C(OCC1=CC=CC=C1)NOC(C)=O,313.15,2.604010229258514
73,C[Si](C)(C)OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3,O=C/C=C/CCC,O=C(OCC1=CC=CC=C1)NOC(C)=O,0.99,25,C[Si](C)(C)OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.O=C/C=C/CCC.O=C(OCC1=CC=CC=C1)NOC(C)=O,298.15,3.136165157937852
74,C[Si](C)(C)OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3,O=C/C=C/CCC(OC1=CC=CC=C1)=O,O=C(OCC1=CC=CC=C1)NOC(C)=O,0.84,40,C[Si](C)(C)OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.O=C/C=C/CCC(OC1=CC=CC=C1)=O.O=C(OCC1=CC=CC=C1)NOC(C)=O,313.15,1.5198369433634389
75,C[Si](C)(C)OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3,O=C/C=C/CCC1=CC=C([N+]([O-])=O)C=C1,O=C(OCC1=CC=CC=C1)NOC(C)=O,0.92,40,C[Si](C)(C)OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.O=C/C=C/CCC1=CC=C([N+]([O-])=O)C=C1.O=C(OCC1=CC=CC=C1)NOC(C)=O,313.15,1.9776565530665189
76,C[Si](C)(C)OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3,O=C/C=C/CCC1=CC=CC=C1,O=C(OC(C)(C)C)NOC(C)=O,0.92,40,C[Si](C)(C)OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.O=C/C=C/CCC1=CC=CC=C1.O=C(OC(C)(C)C)NOC(C)=O,313.15,1.9776565530665189
77,C[Si](C)(C)OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3,O=C/C=C/CCC=C,O=C(OCC1=CC=CC=C1)NOC(C)=O,0.96,40,C[Si](C)(C)OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.O=C/C=C/CCC=C.O=C(OCC1=CC=CC=C1)NOC(C)=O,313.15,2.421823017098834
78,C[Si](C)(C)OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3,O=C/C=C/CCCC,O=C(OCC1=CC=CC=C1)NOC(C)=O,0.96,40,C[Si](C)(C)OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.O=C/C=C/CCCC.O=C(OCC1=CC=CC=C1)NOC(C)=O,313.15,2.421823017098834
79,C[Si](C)(C)OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3,O=C/C=C/CCCOC(C1=CC=CC=C1)=O,O=C(OC(C)(C)C)NOC(C)=O,0.98,40,C[Si](C)(C)OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.O=C/C=C/CCCOC(C1=CC=CC=C1)=O.O=C(OC(C)(C)C)NOC(C)=O,313.15,2.85947607210598
80,C[Si](C)(C)OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.OC(C1=C(F)C=CC=C1)=O,O=C/C=C/C1=CC=C([N+]([O-])=O)C=C1,C1(PC2=CC=CC=C2)=CC=CC=C1,0.99,4,C[Si](C)(C)OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.OC(C1=C(F)C=CC=C1)=O.O=C/C=C/C1=CC=C([N+]([O-])=O)C=C1.C1(PC2=CC=CC=C2)=CC=CC=C1,277.15,2.915271418824335
81,C[Si](C)(C)OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.OC(C1=C(F)C=CC=C1)=O,O=C/C=C/C1=CC=CC(Br)=C1,C1(PC2=CC=CC=C2)=CC=CC=C1,0.83,4,C[Si](C)(C)OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.OC(C1=C(F)C=CC=C1)=O.O=C/C=C/C1=CC=CC(Br)=C1.C1(PC2=CC=CC=C2)=CC=CC=C1,277.15,1.3087249709148376
82,C[Si](C)(C)OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.OC(C1=C(F)C=CC=C1)=O,O=C/C=C/C1=CC=CC([N+]([O-])=O)=C1,C1(PC2=CC=CC=C2)=CC=CC=C1,0.98,4,C[Si](C)(C)OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.OC(C1=C(F)C=CC=C1)=O.O=C/C=C/C1=CC=CC([N+]([O-])=O)=C1.C1(PC2=CC=CC=C2)=CC=CC=C1,277.15,2.5307481826095235
83,C[Si](C)(C)OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.OC(C1=C(F)C=CC=C1)=O,O=C/C=C/C1=CC=CC=C1,C1(PC2=CC=CC=C2)=CC=CC=C1,0.83,4,C[Si](C)(C)OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.OC(C1=C(F)C=CC=C1)=O.O=C/C=C/C1=CC=CC=C1.C1(PC2=CC=CC=C2)=CC=CC=C1,277.15,1.3087249709148376
84,OC([C@H]1NCCC1)=O,O=C/C=C/C1=CC=CC=C1,C1(PC2=CC=CC=C2)=CC=CC=C1,0,25,OC([C@H]1NCCC1)=O.O=C/C=C/C1=CC=CC=C1.C1(PC2=CC=CC=C2)=CC=CC=C1,298.15,0
85,OC([C@H]1NCCC1)=O,O=C/C=C/CCC,O=C(OCC1=CC=CC=C1)NOC(C)=O,0,25,OC([C@H]1NCCC1)=O.O=C/C=C/CCC.O=C(OCC1=CC=CC=C1)NOC(C)=O,298.15,0
86,OC[C@H]1NCCC1,O=C/C=C/C1=CC=CC=C1,C1(PC2=CC=CC=C2)=CC=CC=C1,0.12,25,OC[C@H]1NCCC1.O=C/C=C/C1=CC=CC=C1.C1(PC2=CC=CC=C2)=CC=CC=C1,298.15,0.1428831448498942
87,OC[C@H]1NCCC1,O=C/C=C/CCC,O=C(OCC1=CC=CC=C1)NOC(C)=O,0,25,OC[C@H]1NCCC1.O=C/C=C/CCC.O=C(OCC1=CC=CC=C1)NOC(C)=O,298.15,0
88,[C@H]1(C(C2=CC=CC=C2)C3=CC=CC=C3)NCCC1,O=C/C=C/CCC,O=C(OCC1=CC=CC=C1)NOC(C)=O,0.57,25,[C@H]1(C(C2=CC=CC=C2)C3=CC=CC=C3)NCCC1.O=C/C=C/CCC.O=C(OCC1=CC=CC=C1)NOC(C)=O,298.15,0.767285713617334
89,[C@H]1(CN2CCCC2)NCCC1,O=C/C=C/C1=CC=CC=C1,C1(PC2=CC=CC=C2)=CC=CC=C1,0.14,25,[C@H]1(CN2CCCC2)NCCC1.O=C/C=C/C1=CC=CC=C1.C1(PC2=CC=CC=C2)=CC=CC=C1,298.15,0.1669905271543121
90,[C@H]1(CN2CCCC2)NCCC1,O=C/C=C/CCC,O=C(OCC1=CC=CC=C1)NOC(C)=O,0,25,[C@H]1(CN2CCCC2)NCCC1.O=C/C=C/CCC.O=C(OCC1=CC=CC=C1)NOC(C)=O,298.15,0
