num_layers,R2
1,0.5620261430740356
2,0.5461214780807495
3,0.5173376798629761
4,0.5394171476364136
5,0.5241789817810059
6,0.5772544145584106
7,0.5913559794425964
8,0.5256125330924988
9,0.5532493591308594
10,0.4912834167480469
