Epoch,Train R$^2$,Validation R$^2$,Test R$^2$
138,0.931049168,0.510411978,0.591152231
139,0.934087694,0.498596489,0.591152231
140,0.933846831,0.511233151,0.591152231
141,0.933515966,0.516996145,0.591152231
142,0.932421625,0.507104158,0.591152231
143,0.934232891,0.506159365,0.591152231
144,0.9317981,0.499872625,0.591152231
145,0.932264209,0.506777108,0.591152231
146,0.933793128,0.50223273,0.591152231
147,0.930574417,0.518528521,0.591152231
148,0.933745027,0.504029632,0.591152231
149,0.930755615,0.503765047,0.591152231
150,0.926734567,0.493913174,0.591152231
151,0.927458227,0.493492484,0.591152231
152,0.928011358,0.506393909,0.591152231
153,0.931165576,0.496945918,0.591152231
154,0.930915534,0.499801934,0.591152231
155,0.9316504,0.499590099,0.591152231
156,0.934273958,0.50015533,0.591152231
157,0.935583711,0.505424976,0.591152231
158,0.934387565,0.481875241,0.591152231
159,0.935357571,0.491649449,0.591152231
160,0.934991479,0.476700664,0.591152231
161,0.93334806,0.491528869,0.591152231
162,0.934761822,0.477469325,0.591152231
163,0.926797986,0.488625228,0.591152231
164,0.929525256,0.49798888,0.591152231
165,0.92796576,0.483686686,0.591152231
166,0.932908654,0.491110921,0.591152231
167,0.936182737,0.513594627,0.591152231
168,0.936860144,0.485340476,0.591152231
169,0.935850322,0.507614732,0.591152231
170,0.937102795,0.511434913,0.591152231
171,0.940287292,0.506367862,0.591152231
172,0.940120518,0.500454307,0.591152231
173,0.93919301,0.485094666,0.591152231
174,0.937775433,0.499206603,0.591152231
175,0.933496058,0.480451345,0.591152231
176,0.936206996,0.504809618,0.591152231
