Epoch,Train Accuracy,Validation Accuracy,Test Accuracy
0,0.5299235433693646,0.532563025210084,0.8680851063829788
1,0.5776430266279989,0.6113445378151261,0.8680851063829788
2,0.6253625098866332,0.6691176470588235,0.8680851063829788
3,0.6778275771157395,0.7111344537815126,0.8680851063829788
4,0.7266016345900342,0.7542016806722689,0.8680851063829788
5,0.7708937516477722,0.7699579831932774,0.8680851063829788
6,0.7927761666227261,0.7762605042016807,0.8680851063829788
7,0.8062219878723965,0.7815126050420168,0.8680851063829788
8,0.8291589770630108,0.8004201680672269,0.8680851063829788
9,0.8422093329818086,0.7899159663865546,0.8680851063829788
10,0.8519641444766676,0.8067226890756303,0.8680851063829788
11,0.8667281834959135,0.8035714285714286,0.8680851063829788
12,0.8726601634590034,0.8214285714285714,0.8680851063829788
13,0.8886105984708674,0.8182773109243697,0.8680851063829788
14,0.892565251779594,0.8266806722689075,0.8680851063829788
15,0.8986290535196414,0.8214285714285714,0.8680851063829788
16,0.9056156076983918,0.8319327731092437,0.8680851063829788
17,0.9010018455048774,0.8245798319327731,0.8680851063829788
18,0.9122066965462694,0.8287815126050421,0.8680851063829788
19,0.9165568151858687,0.8287815126050421,0.8680851063829788
20,0.9168204587397838,0.8308823529411765,0.8680851063829788
21,0.924729765357237,0.8413865546218487,0.8680851063829788
22,0.930925388874242,0.842436974789916,0.8680851063829788
23,0.9317163195359873,0.8361344537815126,0.8680851063829788
24,0.9271025573424729,0.819327731092437,0.8680851063829788
25,0.930925388874242,0.8277310924369747,0.8680851063829788
26,0.9358027946216715,0.8413865546218487,0.8680851063829788
27,0.9414711310308463,0.8413865546218487,0.8680851063829788
28,0.9417347745847614,0.8319327731092437,0.8680851063829788
29,0.943316635908252,0.8308823529411765,0.8680851063829788
30,0.9435802794621672,0.8455882352941176,0.8680851063829788
31,0.9454257843395729,0.8298319327731093,0.8680851063829788
32,0.9439757447930398,0.8382352941176471,0.8680851063829788
33,0.9497759029791721,0.842436974789916,0.8680851063829788
